ensembl_gene_id;Control;Control.1;Control.2;WNT5A;WNT5A.1;WNT5A.2
ENSG00000000003;5.126571552;4.997432389;5.017151624;4.988097407;4.998839155;4.991765296
ENSG00000000419;5.163157295;5.2888502;5.124467408;5.079362047;4.911473409;5.136247595
ENSG00000000457;2.732520167;3.188862136;3.201738857;3.053189387;2.893123712;3.276829413
ENSG00000000460;1.630678985;1.998854908;1.415826664;2.009082232;1.960824588;1.892652842
ENSG00000000938;-1.399364357;-1.734788178;-0.96584077;-0.792512803;-1.448081561;-0.698289491
ENSG00000000971;4.923318178;5.669758849;5.124360962;4.130741339;4.522227233;4.673253922
ENSG00000001036;6.044391693;6.291528016;6.149790668;5.773317624;5.696134559;5.830384795
ENSG00000001084;3.889389417;4.179392546;4.16382608;3.935843147;3.753381149;3.777021446
ENSG00000001167;4.673276512;4.608542146;4.704756642;4.506397025;4.407890001;4.677968128
ENSG00000001460;3.855076429;3.511640728;3.762416389;3.953525728;3.516427957;3.530727937
ENSG00000001461;6.928573246;6.285938265;6.471062198;6.714007505;6.333957414;6.53223791
ENSG00000001497;4.741942736;4.872822508;4.803301958;4.810389172;4.772935225;4.779999058
ENSG00000001561;2.685679517;2.813307582;2.306624017;2.925655328;2.666179763;2.626362146
ENSG00000001617;3.429039366;3.28328485;3.345504531;3.400174128;2.949868159;3.259344835
ENSG00000001629;6.632281051;7.02062616;6.778640658;6.568033915;6.697506454;6.705811426
ENSG00000001630;3.548606528;3.552228393;3.438880861;3.555417652;3.475986796;2.959206812
ENSG00000001631;5.163778511;5.212109583;5.053147589;5.131013657;4.761071864;5.069616314
ENSG00000002016;2.565763924;3.134799515;3.269941304;3.160424039;3.291405508;3.205399017
ENSG00000002079;-1.639166999;-2.053020863;-1.41644436;-0.89677393;-2.027709497;-1.46807347
ENSG00000002330;2.358030322;2.101906846;2.339289524;2.322747164;2.412612455;2.396611789
ENSG00000002549;7.271953214;7.683433854;7.78147851;6.22253574;5.638555906;6.91362472
