gene,value,Type,,
ENSG00000000003,5.126571552,Control,,
ENSG00000000419,5.163157295,Control,,
ENSG00000000457,2.732520167,Control,,
ENSG00000000460,1.630678985,Control,,
ENSG00000000938,-1.399364357,Control,,
ENSG00000000971,4.923318178,Control,,
ENSG00000001036,6.044391693,Control,,
ENSG00000001084,3.889389417,Control,,
ENSG00000001167,4.673276512,Control,,
ENSG00000001460,3.855076429,Control,,
ENSG00000001461,6.928573246,Control,,
ENSG00000001497,4.741942736,Control,,
ENSG00000001561,2.685679517,Control,,
ENSG00000001617,3.429039366,Control,,
ENSG00000001629,6.632281051,Control,,
ENSG00000001630,3.548606528,Control,,
ENSG00000001631,5.163778511,Control,,
ENSG00000002016,2.565763924,Control,,
ENSG00000002079,-1.639166999,Control,,
ENSG00000002330,2.358030322,Control,,
ENSG00000002549,7.271953214,Control,,
ENSG00000002586,9.696716745,Control,,
ENSG00000002745,1.364364384,Control,,
ENSG00000002746,3.766377308,Control,,
ENSG00000002822,4.519443289,Control,,
ENSG00000002834,8.593835266,Control,,
ENSG00000002919,4.048685064,Control,,
ENSG00000002933,8.109261373,Control,,
ENSG00000003056,6.043448252,Control,,
ENSG00000003096,-1.46216545,Control,,
ENSG00000003137,5.079839486,Control,,
ENSG00000003249,1.621241429,Control,,
ENSG00000003393,5.734385938,Control,,
ENSG00000003400,3.616039097,Control,,
ENSG00000003402,7.612291105,Control,,
ENSG00000003436,5.168887097,Control,,
ENSG00000003509,3.496903058,Control,,
ENSG00000003756,5.691948564,Control,,
ENSG00000003987,0.358446393,Control,,
ENSG00000004059,5.994716685,Control,,
ENSG00000004139,2.281624165,Control,,
ENSG00000004142,6.259155819,Control,,
ENSG00000004399,7.781985602,Control,,
ENSG00000004455,6.114308881,Control,,
ENSG00000004468,0.095200918,Control,,
ENSG00000004478,5.490401842,Control,,
ENSG00000004487,6.19199088,Control,,
ENSG00000004534,6.544859104,Control,,
ENSG00000004660,3.566734964,Control,,
ENSG00000004700,4.785592474,Control,,
ENSG00000004766,4.362256803,Control,,
ENSG00000004776,1.98939636,Control,,
ENSG00000004777,3.744642676,Control,,
ENSG00000004779,4.643595507,Control,,
ENSG00000004799,3.286863036,Control,,
ENSG00000004838,-0.552722378,Control,,
ENSG00000004864,2.885672119,Control,,
ENSG00000004866,3.298645406,Control,,
ENSG00000004897,6.527457415,Control,,
ENSG00000004961,4.800783865,Control,,
ENSG00000004975,6.658791602,Control,,
ENSG00000005007,7.825018413,Control,,
ENSG00000005020,4.487889375,Control,,
ENSG00000005022,5.674645319,Control,,
ENSG00000005059,4.051222127,Control,,
ENSG00000005073,3.595348963,Control,,
ENSG00000005075,4.905975369,Control,,
ENSG00000005100,4.723643885,Control,,
ENSG00000005102,2.136175653,Control,,
ENSG00000005108,-2.754077357,Control,,
ENSG00000005156,4.002894131,Control,,
ENSG00000005175,5.023137608,Control,,
ENSG00000005189,2.084149733,Control,,
ENSG00000005194,4.783766694,Control,,
ENSG00000005206,5.607778156,Control,,
ENSG00000005238,5.370631661,Control,,
ENSG00000005243,5.376365991,Control,,
ENSG00000005249,0.925113868,Control,,
ENSG00000005302,4.800567199,Control,,
ENSG00000005339,7.109266714,Control,,
